Date,volume
2018-08-10,600288986.875425
2018-08-11,441814690.671825
2018-08-12,401920311.7545857
2018-08-13,663944638.213075
2018-08-14,702473673.063446
2018-08-15,608876687.7548769
2018-08-16,417505745.4257667
2018-08-17,366208610.751725
2018-08-18,250407540.752725
2018-08-19,278407616.79156667
2018-08-20,494275683.7943538
2018-08-21,578694712.3484416
2018-08-22,521498142.1169417
2018-08-23,309487742.00668573
2018-08-24,360769405.4619
2018-08-25,275471754.4117583
2018-08-26,258650857.75549233
2018-08-27,488528814.7685167
2018-08-28,417586626.2572714
2018-08-29,386739901.3649583
2018-08-30,401228805.8850154
2018-08-31,346387521.1970084
2018-09-01,500527999.0105078
2018-09-02,398104449.3491077
2018-09-03,355513974.99455833
2018-09-04,534640696.63640773
2018-09-05,963691917.6019086
2018-09-06,419504415.19785
2018-09-07,291261346.93307495
2018-09-08,338680872.51955
2018-09-09,290980772.8368461
2018-09-10,314617783.7769333
2018-09-11,321882304.55031675
2018-09-12,349448939.5885616
2018-09-13,360631436.3050917
2018-09-14,232655320.56611666
2018-09-15,181083665.02454165
2018-09-16,217488658.75825
2018-09-17,346869668.288775
2018-09-18,321494577.22700834
2018-09-19,425834153.34970003
2018-09-20,524769683.69301677
2018-09-21,424174128.73345
2018-09-22,251395241.2779167
2018-09-23,273203917.3096333
2018-09-24,390313648.772825
2018-09-25,312748554.37550837
2018-09-26,283381555.35885835
2018-09-27,457654461.26719165
2018-09-28,373219094.66076666
2018-09-29,190991380.69071665
2018-09-30,256778711.4242917
2018-10-01,257999312.56760833
2018-10-02,332298092.85064167
2018-10-03,263127450.3287083
2018-10-04,220257654.74284998
2018-10-05,209968177.95718333
2018-10-06,155730689.40768334
2018-10-07,203461059.2068769
2018-10-08,225814169.29826665
2018-10-09,265718545.5197667
2018-10-10,571216726.9510417
2018-10-11,326313131.20454997
2018-10-12,182016135.0701833
2018-10-13,189122800.70661664
2018-10-14,571754179.6516584
2018-10-15,667107406.1572669
2018-10-16,288830228.1963923
2018-10-17,248067803.46955383
2018-10-18,271177659.4210667
2018-10-19,196192211.14311668
2018-10-20,139219682.7482917
2018-10-21,161513916.040575
2018-10-22,214509494.38174
2018-10-23,228326458.19319168
2018-10-24,211333434.46891665
2018-10-25,196903747.49074164
2018-10-26,170476989.60099164
2018-10-27,132201764.57107498
2018-10-28,227993897.59048334
2018-10-29,272566870.0486643
2018-10-30,239611665.55315003
2018-10-31,218561001.31684998
2018-11-01,213130474.22181675
2018-11-02,173127503.86902502
2018-11-03,170377979.27624997
2018-11-04,181319289.62183332
2018-11-05,194984157.9507917
2018-11-06,282785375.5726834
2018-11-07,243318834.88346663
2018-11-08,234921792.63233337
2018-11-09,165583852.47805002
2018-11-10,130081811.03396666
2018-11-11,161262278.75530002
2018-11-12,233379998.45811668
2018-11-13,394394702.04938334
2018-11-14,1154982470.8677833
2018-11-15,598382905.457125
2018-11-16,295708090.7180917
2018-11-17,199003094.976675
2018-11-18,520520304.9135249
2018-11-19,1286922323.878267
2018-11-20,1192636084.7779415
2018-11-21,515936600.33733344
2018-11-22,499912457.6587834
2018-11-23,394965144.8347084
2018-11-24,854858771.8991165
2018-11-25,777305525.3779416
2018-11-26,769139307.2511915
2018-11-27,693105022.051023
2018-11-28,694205696.0006417
2018-11-29,566637605.5040001
2018-11-30,463868071.3704083
2018-12-01,311020128.45015
2018-12-02,384515219.8658083
2018-12-03,431140475.81086665
2018-12-04,360463175.5577667
2018-12-05,468386115.0315166
2018-12-06,711072414.9827499
2018-12-07,602479277.0078584
2018-12-08,412089394.84126663
2018-12-09,341852239.5946333
2018-12-10,363550072.67391664
2018-12-11,296126372.2710417
2018-12-12,308613011.6727249
2018-12-13,383570307.1369834
2018-12-14,336373161.99336666
2018-12-15,215050882.80007496
2018-12-16,343147308.5485334
2018-12-17,505136198.08115
2018-12-18,646102993.8124083
2018-12-19,774377235.180075
2018-12-20,736597655.1046333
2018-12-21,387644391.3521166
2018-12-22,352851757.8155666
2018-12-23,502551219.5510666
2018-12-24,473121207.31752497
2018-12-25,333028124.7150083
2018-12-26,304466482.3517917
2018-12-27,382232905.9336417
2018-12-28,337406200.3913
2018-12-29,298945596.8086333
2018-12-30,252556851.44223332
2018-12-31,255956548.17687497
2019-01-01,280901167.91293335
2019-01-02,252710143.65893337
2019-01-03,203230963.07804167
2019-01-04,246497263.451975
2019-01-05,182621668.13249168
2019-01-06,278935705.86964995
2019-01-07,315462368.65665835
2019-01-08,340650855.44360834
2019-01-09,413021289.11607504
2019-01-10,380984331.3695667
